,Tipo via tmp,Nome via tmp,Civico tmp,ZD tmp,Isolato,Accesso,Info plus
19388,VIA,MONTE NAPOLEONE,27,1,314; , accesso esterno; , ;via monte napoleone 027; 
19389,VIA,MARGHERA,14,7,194; , accesso esterno; , ; 
19390,GLL,STRASBURGO,2,1,317; , accesso esterno; , ;cso europa 018; 
19391,PZA,DUCA D'AOSTA int. staz. centrale,000,2,,,;ingresso via 9401 num.000; accesso: accesso interno; 
19392,VIA,SANT' AMPELLIO,2,5,018; , accesso esterno; , ; 
19393,VIA,MANZONI ALESSANDRO,40,1,255; , accesso esterno; , ;via manzoni alessandro 040; 
19394,VIA,MERAVIGLI,14,1,374; , accesso esterno; , ;via meravigli 014; 
19395,CSO,MONFORTE,25,1,098; , accesso esterno; , ;cso monforte 025; 
19396,PZA,SAN BABILA,3,1,316; , accesso esterno; , ;pza san babila 003; 
19397,VIA,PADOVA,288,2,241; , accesso esterno; , ; 
19398,VIA,GROSSI TOMMASO,10,1,412; , accesso esterno; , ;via grossi tommaso 010; 
19399,VLE,LUNIGIANA,19,2,197; , accesso esterno; , ; 
19400,PZA,CORDUSIO,2,1,436; , accesso esterno; , ;pza dei mercanti 021; 
19401,VIA,MONTE NAPOLEONE,23,1,314; , accesso esterno; , ;via monte napoleone 023; 
19402,VIA,DE AMICIS EDMONDO,19,1,128; , accesso esterno; , ;via de amicis edmondo 019; 
19403,CSO,MAGENTA,2,1,291; , accesso esterno; , ;cso magenta 002; 
19404,PLE,UDINE,8,3,058; , accesso esterno; , ; 
19405,VIA,BUONARROTI MICHELANGELO,5,7,214; , accesso esterno; , ; 
19406,VIA,CENISIO,9,8,034; , accesso esterno; , ; 
19407,VIA,FELTRE,27,3,060; , accesso esterno; , ; 
19408,VIA,GIOVANNI DA MILANO,7,3,186; , accesso esterno; , ; 
19409,VIA,PIRELLI GIOVANNI BATTISTA,32,9,297; , accesso esterno; , ; 
19410,VIA,SANTA MARIA SEGRETA,7,1,407; , accesso esterno; , ;via santa maria segreta 007; 
19411,VIA,SARPI FRA' PAOLO,35,1,113; , accesso esterno; , ; 
19412,VLE,UMBRIA,3,4,178; , accesso esterno; , ; 
19413,VIA,PALAZZI LAZZARO,5,3,131; , accesso esterno; , ; 
19414,mm,,1,1,997; , accesso interno; , duomo codvia 9112 num.000 ; 
19415,CSO,LODI,1,4,168; , accesso esterno; , ; 
19416,GLL,DE CRISTOFORIS,1,1,361; , accesso esterno; , ;gll de cristoforis 001; 
19417,GLL,DE CRISTOFORIS,1,1,361; , accesso esterno; , ;gll de cristoforis 001; 
19418,VIA,SAVONA,43,6,031; , accesso interno; , ; 
19419,PLE,BAIAMONTI ANTONIO,3,8,068; , accesso esterno; , ; 
19420,VIA,DELLA SPIGA,9,1,261; , accesso esterno; , ;via sant' andrea 014; 
19421,VIA,TAJANI FILIPPO,1,3,165; , accesso esterno; , ; 
19422,VIA,MUSSI GIUSEPPE,11,8,051; , accesso esterno; , ; 
19423,PZA,IMPERATORE TITO,4,4,102; , accesso esterno; , ; 
19424,VIA,LAMBRO,11,3,144; , accesso esterno; , ; 
19425,VIA,SONCINO,1,1,350; , accesso esterno; , ;via soncino 001; 
19426,VIA,EMANUELE FILIBERTO,4,8,024; , accesso esterno; , ; 
19427,VIA,TERRUGGIA GIOVANNI,21,9,068; , accesso esterno; , ; 
19428,VIA,PADOVA,177,2,208; , accesso esterno; , ; 
19429,CSO,BUENOS AIRES,8,3,141; , accesso esterno; , ; 
19430,VIA,PISTRUCCI SCIPIONE,10,4,080; , accesso esterno; , ; 
19431,VIA,SOLARI ANDREA,4,6,220; , accesso esterno; , ; 
19432,VLE,SUZZANI GIOVANNI,19,9,130; , accesso esterno; , ; 
19433,PZA,VENTICINQUE APRILE,3,1,004; , accesso esterno; , ; 
19434,VIA,MEDA GIUSEPPE,23,5,159; , accesso esterno; , ; 
19435,VIA,SAN PIETRO ALL'ORTO,17,1,362; , accesso esterno; , ;via san pietro all'orto 017; 
19436,VLE,CAMPANIA,5,4,252; , accesso esterno; , ; 
19437,PZA,MINNITI TITO,1,9,269; , accesso esterno; , ; 
19438,VIA,MARGHERA,18,7,194; , accesso esterno; , ; 
19439,VIA,MEUCCI ANTONIO,83,2,218; , accesso esterno; , ; 
19440,CSO,BUENOS AIRES,020,3,107; , accesso interno; ,/int; 
19441,VIA,PROCACCINI GIULIO CESARE,69,8,059; , accesso esterno; , ; 
19442,VIA,FARA GUSTAVO,4,2,307; , accesso esterno; , ; 
19443,VIA,MONTE GENEROSO,008,8,320; , accesso esterno; ,/a; 
19444,VIA,ORNATO LUIGI,17,9,069; , accesso esterno; , ; 
19445,VIA,SARFATTI ROBERTO,1,5,118; , accesso esterno; , ; 
19446,VIA,KORISTKA FRANCESCO,17,8,028; , accesso esterno; , ; 
19447,VLE,TESTI FULVIO,81,9,139; , accesso esterno; , ; 
19448,VLE,CONI ZUGNA,71,6,040; , accesso esterno; , ; 
19449,VIA,ABBADESSE,36,2,229; ,, ; 
19450,ALZ,NAVIGLIO PAVESE,110,5,054; , accesso esterno; , interno; 
19451,VIA,DEI TULIPANI,18,6,139; , accesso esterno; , ; 
19452,VLE,GIAN GALEAZZO,8,5,086; , accesso esterno; , ; 
19453,VIA,PORPORA NICOLA ANTONIO,14,3,023; , accesso esterno; , ; 
19454,VLE,MONTE NERO,44,4,110; , accesso esterno; , ; 
19455,VIA,TRIVULZIO ANTONIO TOLOMEO,4,7,208; , accesso esterno; , ; 
19456,VIA,LAGRANGE GIUSEPPE,2,5,094; , accesso esterno; , ; 
19457,VIA,VALLA LORENZO,25,5,040; , accesso esterno; , ; 
19458,VIA,TAGIURA,21,6,042; , accesso esterno; , ; 
19459,VIA,MELZO,19,3,143; ,, ; 
19460,VIA,DELLA CHIESA ROSSA,175,5,070; , accesso esterno; ,/1; 
19461,VIA,BENGASI,1,1,285; , accesso esterno; , ; 
19462,VIA,GIAMBELLINO,41,6,161; , accesso esterno; , ; 
19463,CSO,GARIBALDI GIUSEPPE,75,1,081; , accesso esterno; , ; 
19464,VLE,JENNER EDOARDO,46,9,085; , accesso esterno; , ; 
19465,VIA,PADOVA,298,2,243; , accesso esterno; , ; 
19466,VIA,NERINO,15,1,480; , accesso esterno; , ;via nerino 015; 
19467,CSO,LODI,26,5,198; ,, ; 
19468,VIA,VANNUCCI ATTO,10,5,122; , accesso esterno; , ; 
19469,VIA,FELTRE loc. interno,019,3,059; , accesso esterno; ,/a; 
19470,VLE,CORSICA,75,4,258; , accesso esterno; , ; 
19471,VIA,SALMINI VITTORIO,4,5,191; , accesso esterno; , ; 
19472,CSO,LODI,2,5,191; , accesso esterno; , ; 
19473,VIA,MARGHERA,47,7,213; , accesso esterno; , ; 
19474,CSO,VENTIDUE MARZO,18,4,044; , accesso esterno; , ; 
